delivery,file,room,model,passes,delivered_eastern,verdict,judged_eastern,state,category
20260925-010322-greg-0008,design/papers/BLUEPRINT-8.png,,none (scan-derived),,2026-09-24 21:03,20260925-010456-norm-0011,2026-09-24 21:04,approved,
20260925-010322-greg-0008,design/papers/BLUEPRINT-9.png,,none (scan-derived),,2026-09-24 21:03,20260925-010456-norm-0011,2026-09-24 21:04,approved,
20260925-010322-greg-0008,design/papers/BLUEPRINT-KEY.png,,none (scan-derived),,2026-09-24 21:03,20260925-010456-norm-0011,2026-09-24 21:04,changes-paint,content
20260925-010911-greg-0009,design/papers/BLUEPRINT-1.png,,none (scan-derived),,2026-09-24 21:09,20260925-010951-norm-0013,2026-09-24 21:09,approved,
20260925-010911-greg-0009,design/papers/BLUEPRINT-2.png,,none (scan-derived),,2026-09-24 21:09,20260925-010951-norm-0013,2026-09-24 21:09,approved,
20260925-010911-greg-0009,design/papers/BLUEPRINT-3.png,,none (scan-derived),,2026-09-24 21:09,20260925-010951-norm-0013,2026-09-24 21:09,approved,
20260925-010911-greg-0009,design/papers/BLUEPRINT-KEY.png,,none (scan-derived),,2026-09-24 21:09,20260925-010951-norm-0013,2026-09-24 21:09,approved,
20260925-012754-greg-0010,design/characters/FLOYD@EVIL2.png,,Astra,,2026-09-24 21:27,20260925-012920-norm-0016,2026-09-24 21:29,approved,
20260925-012754-greg-0010,design/characters/FLOYD@EVIL3.png,,Astra,,2026-09-24 21:27,20260925-012920-norm-0016,2026-09-24 21:29,approved,
20260925-012754-greg-0010,design/characters/FLOYD@EVIL4.png,,Astra,,2026-09-24 21:27,20260925-012920-norm-0016,2026-09-24 21:29,approved,
20260925-012754-greg-0010,design/characters/FLOYD@EVIL5.png,,Astra,,2026-09-24 21:27,20260925-012920-norm-0016,2026-09-24 21:29,approved,
20260925-012754-greg-0010,design/characters/FLOYD@EVIL6.png,,Astra,,2026-09-24 21:27,20260925-012920-norm-0016,2026-09-24 21:29,approved,
20260925-012754-greg-0010,design/characters/HELEN.png,,Astra,,2026-09-24 21:27,20260925-012920-norm-0016,2026-09-24 21:29,approved,
20260925-012754-greg-0010,design/characters/REX.png,,Astra,,2026-09-24 21:27,20260925-012920-norm-0016,2026-09-24 21:29,approved,
20260925-012754-greg-0010,design/characters/PLATO.png,,Astra,,2026-09-24 21:27,20260925-012920-norm-0016,2026-09-24 21:29,approved,
20260925-014523-greg-0014,design/characters/OLIVER@DORMANT.png,,Astra,,2026-09-24 21:45,20260925-014627-norm-0020,2026-09-24 21:46,approved,
20260925-014523-greg-0014,design/characters/OLIVER.png,,Astra,,2026-09-24 21:45,20260925-014627-norm-0020,2026-09-24 21:46,approved,
20260925-014523-greg-0014,design/characters/WELDER.png,,Astra,,2026-09-24 21:45,20260925-014627-norm-0020,2026-09-24 21:46,approved,
20260925-014523-greg-0014,design/characters/OSTRICH.png,,Astra,,2026-09-24 21:45,20260925-014627-norm-0020,2026-09-24 21:46,approved,
20260925-014523-greg-0014,design/characters/OSTRICH@FLOATING.png,,Astra,,2026-09-24 21:45,20260925-014627-norm-0020,2026-09-24 21:46,changes-paint,content
20260925-014523-greg-0014,design/characters/BALLOON.png,,Astra,,2026-09-24 21:45,20260925-014627-norm-0020,2026-09-24 21:46,approved,
20260925-014523-greg-0014,design/characters/BALLOON@LEASH-FREE.png,,Astra,,2026-09-24 21:45,20260925-014627-norm-0020,2026-09-24 21:46,approved,
20260925-015017-greg-0015,design/characters/OSTRICH@FLOATING.png,,Astra,,2026-09-24 21:50,20260925-015115-norm-0021,2026-09-24 21:51,approved,
20260925-015715-greg-0016,wwwroot/favicon-32.png,,none (scan-derived),,2026-09-24 21:57,20260925-015810-norm-0024,2026-09-24 21:58,approved,
20260925-015715-greg-0016,wwwroot/favicon-180.png,,none (scan-derived),,2026-09-24 21:57,20260925-015810-norm-0024,2026-09-24 21:58,approved,
20260925-015715-greg-0016,wwwroot/favicon-512.png,,none (scan-derived),,2026-09-24 21:57,20260925-015810-norm-0024,2026-09-24 21:58,approved,
20260925-020232-greg-0017,design/packages/DECK-TWELVE/reference/DR-001_DECK-TWELVE-278_SEED.png,DECK-TWELVE,Astra,,2026-09-24 22:02,20260925-020344-norm-0025,2026-09-24 22:03,approved,
20260925-020649-greg-0018,design/packages/DECK-TWELVE/reference/DR-001_DECK-TWELVE-098_SEED.png,DECK-TWELVE,Astra,,2026-09-24 22:06,20260925-020940-norm-0027,2026-09-24 22:09,approved,
20260925-025922-greg-0023,design/packages/DECK-TWELVE/reference/DR-001_DECK-TWELVE-008_GREG.png,DECK-TWELVE,Astra,,2026-09-24 22:59,20260925-032012-norm-0033,2026-09-24 23:20,approved,
20260925-030520-greg-0024,design/packages/DECK-TWELVE/reference/DR-001_DECK-TWELVE-188_GREG.png,DECK-TWELVE,Astra,,2026-09-24 23:05,20260925-032012-norm-0033,2026-09-24 23:20,approved,
20260925-032908-greg-0026,design/packages/DECK-TWELVE/reference/DR-001_DECK-TWELVE-CAP-UP_GREG.png,,Astra,,2026-09-24 23:29,,,pending,
20260925-032908-greg-0026,design/packages/DECK-TWELVE/reference/DR-001_DECK-TWELVE-CAP-UP_RESTORE-QA.png,,Astra,,2026-09-24 23:29,,,pending,
20260925-044628-greg-0029,design/packages/CARGO-BAY-ENTRANCE/reference/DR-002_CARGO-BAY-ENTRANCE-090_SEED.png,,Sol,,2026-09-25 00:46,20260925-044739-norm-0043,2026-09-25 00:47,approved,
20260925-044844-greg-0030,design/packages/ROBOT-POOL/reference/DR-003_ROBOT-POOL-000_SEED.png,,Sol,,2026-09-25 00:48,20260925-045410-norm-0044,2026-09-25 00:54,changes-paint,geometry
20260925-045126-greg-0031,design/packages/CARGO-BAY/reference/DR-004_CARGO-BAY-000_SEED.png,,Sol,,2026-09-25 00:51,20260925-045456-norm-0045,2026-09-25 00:54,changes-paint,geometry
20260925-050934-greg-0034,design/packages/ROBOT-POOL/reference/DR-003_ROBOT-POOL-000_SEED.png,,Sol,,2026-09-25 01:09,20260925-051608-norm-0049,2026-09-25 01:16,changes-paint,geometry
20260925-051436-greg-0035,design/packages/CARGO-BAY/reference/DR-004_CARGO-BAY-000_SEED.png,,Sol,,2026-09-25 01:14,20260925-051809-norm-0050,2026-09-25 01:18,changes-paint,material
20260925-051803-greg-0036,design/packages/CARGO-BAY-ENTRANCE/reference/DR-002_CARGO-BAY-ENTRANCE-090_SEED.png,,Sol,,2026-09-25 01:18,20260925-052010-norm-0051,2026-09-25 01:20,approved,
20260925-052143-greg-0037,design/packages/SPACETRUCK/reference/DR-005_SPACETRUCK-090_SEED.png,,Sol,,2026-09-25 01:21,20260925-052617-norm-0052,2026-09-25 01:26,approved,
20260925-052651-greg-0038,design/packages/FORM-STORAGE-ROOM/reference/DR-006_FORM-STORAGE-ROOM-180_SEED.png,,Sol,,2026-09-25 01:26,20260925-052810-norm-0053,2026-09-25 01:28,approved,
20260925-053040-greg-0039,design/packages/ROBOT-POOL/reference/DR-003_ROBOT-POOL-000_SEED.png,,Sol,,2026-09-25 01:30,20260925-053213-norm-0054,2026-09-25 01:32,approved,
20260925-054424-greg-0040,design/packages/CARGO-BAY/reference/DR-004_CARGO-BAY-000_SEED.png,,Sol,,2026-09-25 01:44,20260925-054549-norm-0055,2026-09-25 01:45,approved,
20260925-094927-greg-0042,design/packages/CARGO-BAY-ENTRANCE/reference/DR-002_CARGO-BAY-ENTRANCE-000_GREG.png,CARGO-BAY-ENTRANCE,Sol,,2026-09-25 05:49,20260925-095422-norm-0068,2026-09-25 05:54,approved,
20260925-095122-greg-0043,design/packages/ROBOT-POOL/reference/DR-003_ROBOT-POOL-090_GREG.png,ROBOT-POOL,Sol,,2026-09-25 05:51,20260925-095805-norm-0070,2026-09-25 05:58,changes-guide,guide
20260925-100116-greg-0045,design/packages/SPACETRUCK/reference/DR-005_SPACETRUCK-000_GREG.png,SPACETRUCK,Sol,,2026-09-25 06:01,20260925-100613-norm-0071,2026-09-25 06:06,changes-guide,guide
20260925-100705-greg-0046,design/packages/SPACETRUCK/reference/DR-005_SPACETRUCK-180_GREG.png,SPACETRUCK,Sol,,2026-09-25 06:07,20260925-101153-norm-0073,2026-09-25 06:11,changes-paint,geometry
20260925-101531-greg-0049,design/packages/CARGO-BAY/reference/DR-004_CARGO-BAY-090_GREG.png,CARGO-BAY,Sol,,2026-09-25 06:15,20260925-102330-norm-0077,2026-09-25 06:23,changes-paint,geometry
20260925-102553-greg-0051,design/packages/ROBOT-POOL/reference/DR-003_ROBOT-POOL-090_GREG.png,ROBOT-POOL,Sol,,2026-09-25 06:25,20260925-102707-norm-0078,2026-09-25 06:27,approved,
20260925-103224-greg-0052,design/packages/SPACETRUCK/reference/DR-005_SPACETRUCK-000_GREG.png,SPACETRUCK,Sol,,2026-09-25 06:32,20260925-103328-norm-0079,2026-09-25 06:33,approved,
